participant_id,condition,trial_number,trial_type,target_x,target_y,target_radius,target_onset_timestamp_ms,click_timestamp_ms,reaction_time_ms,session_elapsed_ms,hit,cumulative_score
1,auditory,1,practice,838,438,28,1773352072925,1773352073709,784,784,1,1
1,auditory,2,practice,598,206,28,1773352074166,1773352075027,861,2102,0,1
1,auditory,3,practice,121,383,28,1773352075485,1773352079964,4479,7039,1,2
1,auditory,4,practice,318,253,28,1773352080423,1773352080924,501,7999,1,3
1,auditory,5,practice,201,544,28,1773352081382,1773352082008,626,9083,1,4
1,auditory,6,experimental,506,599,28,1773352083841,1773352084481,640,11556,1,5
1,auditory,7,experimental,496,231,28,1773352084935,1773352085406,471,12481,0,5
1,auditory,8,experimental,153,108,28,1773352085863,1773352086606,743,13681,1,6
1,auditory,9,experimental,609,293,28,1773352087063,1773352087568,505,14643,1,7
1,auditory,10,experimental,530,361,28,1773352088028,1773352088465,437,15540,1,8
1,auditory,11,experimental,803,360,28,1773352088923,1773352089501,578,16576,1,9
1,auditory,12,experimental,712,320,28,1773352089957,1773352090479,522,17554,0,9
1,auditory,13,experimental,40,347,28,1773352090934,1773352091557,623,18632,1,10
1,auditory,14,experimental,412,524,28,1773352092017,1773352092605,588,19680,1,11
1,auditory,15,experimental,78,196,28,1773352093062,1773352093840,778,20915,1,12
1,auditory,16,experimental,956,128,28,1773352094301,1773352095145,844,22220,1,13
1,auditory,17,experimental,563,496,28,1773352095602,1773352096108,506,23183,0,13
1,auditory,18,experimental,103,86,28,1773352096567,1773352097344,777,24419,0,13
1,auditory,19,experimental,585,403,28,1773352097801,1773352098275,474,25350,1,14
1,auditory,20,experimental,353,595,28,1773352098732,1773352099357,625,26432,1,15
1,auditory,21,experimental,404,180,28,1773352099811,1773352100336,525,27411,0,15
1,auditory,22,experimental,916,444,28,1773352100794,1773352101675,881,28750,1,16
1,auditory,23,experimental,375,95,28,1773352102132,1773352102640,508,29715,1,17
1,auditory,24,experimental,462,111,28,1773352103099,1773352103659,560,30734,1,18
1,auditory,25,experimental,363,461,28,1773352104120,1773352104780,660,31855,1,19
